id,name,suit,rank,type,description
card_001,桃园结义,heart,A,scroll,出牌阶段，对所有角色使用。每名角色回复1点体力。
card_002,万箭齐发,heart,A,scroll,出牌阶段，对所有其他角色使用。每名角色需打出一张【闪】，否则受到1点伤害。
card_003,无懈可击,heart,A,scroll,目标锦囊牌对目标角色生效前，对此锦囊牌使用。抵消该锦囊牌对一名角色产生的效果。
card_004,诸葛连弩,diamond,A,equip,锁定技，你使用【杀】无次数限制。攻击范围1。
card_005,决斗,diamond,A,scroll,出牌阶段，对一名其他角色使用。由其开始，其与你轮流打出一张【杀】，直到有一方未打出【杀】为止。未打出【杀】的一方受到另一方对其造成的1点伤害。
card_006,朱雀羽扇,diamond,A,equip,你可以将普通【杀】当【火杀】使用。攻击范围4。
card_007,诸葛连弩,club,A,equip,锁定技，你使用【杀】无次数限制。攻击范围1。
card_008,决斗,club,A,scroll,出牌阶段，对一名其他角色使用。由其开始，其与你轮流打出一张【杀】，直到有一方未打出【杀】为止。未打出【杀】的一方受到另一方对其造成的1点伤害。
card_009,白银狮子,club,A,equip,锁定技，你受到的伤害值恒为1。当你失去装备区里的此牌时，你回复1点体力。
card_010,闪电,spade,A,scroll,出牌阶段，对你使用。判定阶段，若判定结果为黑桃2~9，你受到3点雷属性伤害。若不为黑桃2~9，将之移动到下家判定区。
card_011,决斗,spade,A,scroll,出牌阶段，对一名其他角色使用。由其开始，其与你轮流打出一张【杀】，直到有一方未打出【杀】为止。未打出【杀】的一方受到另一方对其造成的1点伤害。
card_012,古锭刀,spade,A,equip,锁定技，当你使用【杀】造成伤害时，若目标没有手牌，此伤害+1。攻击范围2。
card_013,闪,heart,2,basic,
card_014,闪,heart,2,basic,
card_015,火攻,heart,2,scroll,出牌阶段，对一名有手牌的角色使用。你展示一张手牌，若其弃置一张与你展示牌花色相同的手牌，你对其造成1点火属性伤害。
card_016,闪,diamond,2,basic,
card_017,闪,diamond,2,basic,
card_018,桃,diamond,2,basic,
card_019,杀,club,2,basic,
card_020,八卦阵,club,2,equip,判定技，当你需要使用或打出【闪】时，你可以进行判定，若结果为红色，视为你使用或打出一张【闪】。
card_021,仁王盾,club,2,equip,锁定技，黑色【杀】对你无效。
card_022,藤甲,club,2,equip,锁定技，【南蛮入侵】、【万箭齐发】和普通【杀】对你无效。你受到的火属性伤害+1。
card_023,雌雄双股剑,spade,2,equip,你使用【杀】指定一名异性角色为目标后，你可以令其选择一项：1.弃置一张手牌；2.令你摸一张牌。攻击范围2。
card_024,八卦阵,spade,2,equip,判定技，当你需要使用或打出【闪】时，你可以进行判定，若结果为红色，视为你使用或打出一张【闪】。
card_025,寒冰剑,spade,2,equip,当你使用【杀】造成伤害时，若目标有牌，你可以防止此伤害，改为依次弃置其两张牌。攻击范围2。
card_026,藤甲,spade,2,equip,锁定技，【南蛮入侵】、【万箭齐发】和普通【杀】对你无效。你受到的火属性伤害+1。
card_027,桃,heart,3,basic,
card_028,五谷丰登,heart,3,scroll,出牌阶段，对所有角色使用。你从牌堆顶亮出等同于现存角色数量的牌，每名角色获得这些牌中的一张。
card_029,火攻,heart,3,scroll,出牌阶段，对一名有手牌的角色使用。你展示一张手牌，若其弃置一张与你展示牌花色相同的手牌，你对其造成1点火属性伤害。
card_030,闪,diamond,3,basic,
card_031,顺手牵羊,diamond,3,scroll,出牌阶段，对距离为1且区域里有牌的一名其他角色使用。你获得其区域里的一张牌。
card_032,桃,diamond,3,basic,
card_033,杀,club,3,basic,
card_034,过河拆桥,club,3,scroll,出牌阶段，对一名区域里有牌的其他角色使用。你弃置其区域里的一张牌。
card_035,酒,club,3,basic,
card_036,顺手牵羊,spade,3,scroll,出牌阶段，对距离为1且区域里有牌的一名其他角色使用。你获得其区域里的一张牌。
card_037,过河拆桥,spade,3,scroll,出牌阶段，对一名区域里有牌的其他角色使用。你弃置其区域里的一张牌。
card_038,酒,spade,3,basic,
card_039,桃,heart,4,basic,
card_040,五谷丰登,heart,4,scroll,出牌阶段，对所有角色使用。你从牌堆顶亮出等同于现存角色数量的牌，每名角色获得这些牌中的一张。
card_041,火杀,heart,4,basic,
card_042,闪,diamond,4,basic,
