id,name,max_hp,init_hp,nation,skills
hero_001,李辰禹,4,4,S,【月亮】每个判定事件限一次，当一张判定牌翻开时，若其为红桃或黑桃Q，你可以获得此判定牌并令其重新判定，若其不为红桃，你可以用一张红桃牌或黑桃Q交换此判定牌，并获得此判定牌。每当有角色判定到黑桃Q，其失去两点体力。 【玩乐】你可以将方块牌当乐不思蜀打出
hero_002,秦禹潮qyc,6,6,S,每当你需要出闪或无懈可击时，你弃置一张牌都可以发动此技能，视为你已出了闪或无懈可击，然后若你弃置的牌不为红桃，你进行一次判定，若判到红桃，则你减一点血量上限，若为其他花色，则无作用，你最多减至两点血量。 你的手牌上限保持为血量上限的两倍
hero_003,江神,4,4,S,【贴贴】每个你的回合开始时，你可选一人（记为A）贴贴，效果为：A回血时，你也回血，你受伤时，A也受伤，同时你与A无视距离。不能对同一个人连续发动。
hero_004,Sp江神,4,4,S,【纠缠】每次你对他人（记为A）造成伤害时，你都可以将你的全部手牌X张放下，对A追加一点伤害，然后从你开始，与A交替抽牌，你抽到的牌加入你的手牌，A抽到的牌放下，直到你们的总计抽牌数达X张时停止。通过这样的方法放下的牌统一记做纠缠。X须大于等于2。 【原谅】当除你外的角色的手牌出完（不论他接下来是否会抽牌），他可以从场上所有纠缠中任抽一张加入手牌；当你的手牌出完且尼接下来不会再抽牌时，你收起场上所有纠缠，加入自己的手牌。
hero_005,余小路,4,4,T,【鸡汤】每个回合你可以发动一次，从你的下家开始按顺序进行一次全场判定（你自己不用），判到红牌加一点血，判到黑牌受到一点无来源伤害 【秃头】每个你的回合结束，你需要弃至只剩一张牌 【收大小本】每个出牌阶段，你可以选至多两个人，各获得一张牌
hero_006,刘芳,3,3,T,【留作业】每个你的回合开始，你可以选择一个人，此人的技能直到下个你的回合不能发动，不可连续选择同一人； 【巧克力】当你受到1点伤害后，你可以摸两张牌，然后你可以将至多两张手牌分配给至多两名其他角色。
hero_007,陈雄,4,4,T,【八卦】锁定技。若你未装备防具，当你需要使用或打出一张闪或你需要在回合外使用或打出一张杀时，你可以进行一次判定，若结果为红色，你视为使用或打出之。 【估分】你每回合可以选一人摸其一张牌然后猜其花色，若猜对，则此牌还回并对此人造成一点伤害，若猜错，则你获得此牌
hero_008,汪小明,4,4,T,【绝顶】准备阶段，你可以观看牌堆顶的X张牌（若存活角色数：不小于4，X为5；小于4，X为3），然后将其中任意数量的牌以任意顺序置于牌堆顶，将其余的牌以任意顺序置于牌堆底。 【背书】你可以选择两人，令其中一人A出一张牌，另一人B出示一相同花色的牌，若出示失败，则B扣一血，若成功，则A弃掉出示牌
hero_009,罗忠,4,4,T,【共舞】每个回合可发动一次，你可以展示一张牌，然后令其他人轮流展示相同花色的牌，展示成功者摸一张牌，若最后展示成功人数为X，则你摸X张牌，若X=0，你仍摸一张牌 【摸鱼】每次你的回合开始，你都可以选择跳过你的回合，获得一次免伤
hero_010,雷霆哥,3,3,S,【唤雷】你可以将任意黑桃牌当闪电出； 【御雷】你可以让闪电从任何人开始判定； 【降雷】你的闪电判定方式改为每次判定前你选一个点数，若判定点数与你的猜测相符，则你回一点血，加一点血量上限，加一点摸牌上限 【伏雷】每当除你以外的角色被闪电劈中，你都可以弃一张牌，从以下两项中选一项：使闪电伤害加一或使闪电伤害减二，但这样做，你会变成伤害来源
hero_011,谢明勤,4,4,S,【战争践踏】你可以将任意两张相同花色的牌当南蛮入侵出； 【粉碎】每回合限一次。你可以使任意一个人打出的杀/闪无效并进入弃牌堆。
hero_012,魏遵平,4,4,T,【晦气】每个玩家的回合开始前，你都可以选择是否晦气他，若晦气，则这个角色抽牌数减一，且与你的基础距离加一。 【贵妃】你可以给一个人两张牌，然后你和他各减一点血
hero_013,刘医生,4,4,S,【孝道】你可以选择一个人，认他做父亲，要求你获得其一张手牌或受到你造成的一点伤害，但他对你的杀和决斗的伤害加一 【卓越】你的杀需要对方出两张闪，你的决斗需要对方出两张杀
hero_014,sp孙石毅,4,4,T,【假压】每当有一名角色受到伤害，你可以弃一张牌，选择一名攻击范围内含有其的角色，使其成为伤害来源，若此伤害由牌造成，其视为使用或打出了造成伤害的牌。 【抄词】每回合限一次，当一名角色造成伤害时，你可以摸任意张牌（最少为一，最多为二），交给其等量手牌，然后若其到本回合结束时未能再次造成伤害，其失去一点体力，弃一张牌；反之，你摸一张牌
hero_015,警察体能陈永乐,3,3,S,【体能】出牌阶段，每当你使用或打出的牌与上一张牌的花色或点数相同，你摸一张牌。 【警觉】游戏开始时，你摸一张牌置于武将牌上，称为“警”，结束阶段，你可以用手牌替换“警”。每当其他人用基本牌或普通锦囊牌指定你为目标时，若此牌颜色与“警”相同，你可以声明一种花色，然后进行一次判定，若结果与你声明的花色相同，则此牌对你无效。
hero_016,刘小康,3,3,S,【奇算】锁定技，你使用牌结算结束后记录此牌点数。你使用牌时，若此牌点数为记录点数的约数，你摸一张牌；你有已记录的点数，你使用点数为记录点数的倍数的牌无次数限制。 【逻辑】每当你受到一点伤害，你可以弃置任意张牌，并摸起等量的牌，若你以此法弃置了全部手牌，你可以多摸一张，然后你可以弃置一张牌，并将“奇算”记录的点数修改为与弃置牌点数相同。
hero_017,狗,3,3,S,【兽力】你单次受到的伤害不会大于一，高于一的伤害会变成一 【反咬】每次你受到伤害后，可进行一次判定。若结果为：红桃：你回一点体力；方块：你获得该牌；黑桃：你对伤害来源造成一点伤害；梅花：你弃置伤害来源一张牌
hero_018,总教练yxl,3,3,T,【统筹】出牌阶段可以选定一名角色，让其对攻击范围内一名角色出杀，否则，可以抽取该角色一张手牌（借刀杀人进化版） 【秃头】每个你的回合结束时，你需要弃至只剩一张牌 【放弃（限定技）】整个游戏中随时可以发动，你弃掉所有牌（包括判定，装备牌），血量上限减一后回复到满血，摸一张牌，并且获得新技能 榜样的力量 【榜样的力量】判定阶段结束后，摸牌阶段之前自己选择是否发动：召唤榜样（从角色堆中抽出一张角色，不与场上角色重复）榜样的血条为1，并且选择榜样的一个技能，在榜样存活时，你可以使用此技能，并且（由于榜样可以拿着书宣讲），手牌上限加一，即2张。（榜样同时只能存在一个，如果已有的情况下依然可以召唤，则顶替当前榜样）（注：是否攻击榜样由攻击者决定，由于榜样物理不错，雷电不会劈榜样，劈本体）
